year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,4,1,0:02:15,32.867,-117.257,-3,Scripps Pier,0.654,14.1093,4.959,33.5394
2012,4,1,0:10:15,32.867,-117.257,-3,Scripps Pier,0.67,14.1297,4.894,33.5342
2012,4,1,0:18:15,32.867,-117.257,-3,Scripps Pier,0.639,14.1913,4.925,33.5392
2012,4,1,0:26:15,32.867,-117.257,-3,Scripps Pier,0.65,14.2729,4.987,33.5365
2012,4,1,0:34:15,32.867,-117.257,-3,Scripps Pier,0.671,14.3028,4.973,33.5365
2012,4,1,0:42:15,32.867,-117.257,-3,Scripps Pier,0.682,14.3362,5.078,33.5344
2012,4,1,0:50:15,32.867,-117.257,-3,Scripps Pier,0.713,14.2614,5.019,33.5365
2012,4,1,0:58:15,32.867,-117.257,-3,Scripps Pier,0.621,13.7266,4.971,33.5524
2012,4,1,1:06:15,32.867,-117.257,-3,Scripps Pier,0.598,13.3516,5.071,33.5635
2012,4,1,1:14:15,32.867,-117.257,-3,Scripps Pier,0.584,13.2384,5.056,33.5667
2012,4,1,1:22:15,32.867,-117.257,-3,Scripps Pier,0.575,13.0739,5.013,33.5721
2012,4,1,1:30:15,32.867,-117.257,-3,Scripps Pier,0.579,13.0875,5.064,33.5714
2012,4,1,1:38:15,32.867,-117.257,-3,Scripps Pier,0.585,13.0014,5.104,33.5713
2012,4,1,1:46:15,32.867,-117.257,-3,Scripps Pier,0.582,13.0144,5.06,33.5703
2012,4,1,1:54:15,32.867,-117.257,-3,Scripps Pier,0.603,13.0831,5.042,33.5671
2012,4,1,2:02:15,32.867,-117.257,-3,Scripps Pier,0.625,13.3128,5.054,33.5635
2012,4,1,2:10:15,32.867,-117.257,-3,Scripps Pier,0.642,13.38,5.054,33.5557
2012,4,1,2:18:15,32.867,-117.257,-3,Scripps Pier,0.651,13.6554,5.016,33.5514
2012,4,1,2:26:15,32.867,-117.257,-3,Scripps Pier,0.673,13.8712,5.022,33.5455
2012,4,1,2:34:15,32.867,-117.257,-3,Scripps Pier,0.711,13.9428,5.039,33.5421
2012,4,1,2:42:15,32.867,-117.257,-3,Scripps Pier,0.721,14.0605,5.116,33.5382
2012,4,1,2:50:15,32.867,-117.257,-3,Scripps Pier,0.772,14.055,5.01,33.5391
2012,4,1,2:58:15,32.867,-117.257,-3,Scripps Pier,0.731,14.2654,5.1,33.5339
2012,4,1,3:06:15,32.867,-117.257,-3,Scripps Pier,0.751,14.3602,5,33.5324
2012,4,1,3:14:15,32.867,-117.257,-3,Scripps Pier,0.783,14.4152,5.03,33.5309
2012,4,1,3:22:15,32.867,-117.257,-3,Scripps Pier,0.825,14.4111,5.027,33.5303
2012,4,1,3:30:15,32.867,-117.257,-3,Scripps Pier,0.805,14.3622,5.009,33.5314
2012,4,1,3:38:15,32.867,-117.257,-3,Scripps Pier,1.006,14.3923,4.925,33.5305
2012,4,1,3:46:15,32.867,-117.257,-3,Scripps Pier,1.023,14.38,4.991,33.53
2012,4,1,3:54:15,32.867,-117.257,-3,Scripps Pier,1.221,14.2985,4.966,33.5278
2012,4,1,4:02:15,32.867,-117.257,-3,Scripps Pier,1.135,14.2909,4.956,33.527
2012,4,1,4:10:15,32.867,-117.257,-3,Scripps Pier,1.119,14.3778,4.944,33.5274
2012,4,1,4:18:15,32.867,-117.257,-3,Scripps Pier,1.08,14.3693,4.971,33.5272
2012,4,1,4:26:15,32.867,-117.257,-3,Scripps Pier,1.001,14.3788,4.925,33.5261
2012,4,1,4:34:15,32.867,-117.257,-3,Scripps Pier,0.926,14.397,4.91,33.5263
