year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,2,1,0:02:15,32.867,-117.257,-3,Scripps Pier,0.508,15.0721,4.766,33.3277
2012,2,1,0:10:15,32.867,-117.257,-3,Scripps Pier,0.513,15.1134,4.777,33.3269
2012,2,1,0:18:15,32.867,-117.257,-3,Scripps Pier,0.51,15.1277,4.776,33.3271
2012,2,1,0:26:15,32.867,-117.257,-3,Scripps Pier,0.518,15.1186,4.798,33.3274
2012,2,1,0:34:15,32.867,-117.257,-3,Scripps Pier,0.548,15.0998,4.819,33.3285
2012,2,1,0:42:15,32.867,-117.257,-3,Scripps Pier,0.541,14.9184,4.847,33.3263
2012,2,1,0:50:15,32.867,-117.257,-3,Scripps Pier,0.532,15.0362,4.824,33.327
2012,2,1,0:58:15,32.867,-117.257,-3,Scripps Pier,0.524,15.0039,4.795,33.3265
2012,2,1,1:06:15,32.867,-117.257,-3,Scripps Pier,0.523,15.0058,4.855,33.3274
2012,2,1,1:14:15,32.867,-117.257,-3,Scripps Pier,0.524,14.9583,4.826,33.3267
2012,2,1,1:22:15,32.867,-117.257,-3,Scripps Pier,0.538,14.9439,4.829,33.3266
2012,2,1,1:30:15,32.867,-117.257,-3,Scripps Pier,0.543,14.9268,4.838,33.326
2012,2,1,1:38:15,32.867,-117.257,-3,Scripps Pier,0.537,14.9951,4.79,33.327
2012,2,1,1:46:15,32.867,-117.257,-3,Scripps Pier,0.542,15.0103,4.809,33.3288
2012,2,1,1:54:15,32.867,-117.257,-3,Scripps Pier,0.542,14.9784,4.846,33.3287
2012,2,1,2:02:15,32.867,-117.257,-3,Scripps Pier,0.545,14.9559,4.835,33.3287
2012,2,1,2:10:15,32.867,-117.257,-3,Scripps Pier,0.548,14.9463,4.808,33.3287
2012,2,1,2:18:15,32.867,-117.257,-3,Scripps Pier,0.546,14.9409,4.841,33.3286
2012,2,1,2:26:15,32.867,-117.257,-3,Scripps Pier,0.543,14.9091,4.841,33.3282
2012,2,1,2:34:15,32.867,-117.257,-3,Scripps Pier,0.562,14.8997,4.83,33.3285
2012,2,1,2:42:15,32.867,-117.257,-3,Scripps Pier,0.548,14.9012,4.851,33.3279
2012,2,1,2:50:15,32.867,-117.257,-3,Scripps Pier,0.538,14.9151,4.853,33.3282
2012,2,1,2:58:15,32.867,-117.257,-3,Scripps Pier,0.539,14.8931,4.855,33.3283
2012,2,1,3:06:15,32.867,-117.257,-3,Scripps Pier,0.543,14.8717,4.87,33.3279
2012,2,1,3:14:15,32.867,-117.257,-3,Scripps Pier,0.542,14.8279,4.861,33.3275
2012,2,1,3:22:15,32.867,-117.257,-3,Scripps Pier,0.54,14.8179,4.844,33.3277
2012,2,1,3:30:15,32.867,-117.257,-3,Scripps Pier,0.544,14.8124,4.862,33.3273
2012,2,1,3:38:15,32.867,-117.257,-3,Scripps Pier,0.539,14.8264,4.848,33.3278
2012,2,1,3:46:15,32.867,-117.257,-3,Scripps Pier,0.535,14.8526,4.843,33.3281
2012,2,1,3:54:15,32.867,-117.257,-3,Scripps Pier,0.551,14.853,4.826,33.3278
2012,2,1,4:02:15,32.867,-117.257,-3,Scripps Pier,0.544,14.8456,4.844,33.3278
2012,2,1,4:10:15,32.867,-117.257,-3,Scripps Pier,0.545,14.772,4.853,33.3267
2012,2,1,4:18:15,32.867,-117.257,-3,Scripps Pier,0.546,14.7438,4.837,33.326
2012,2,1,4:26:15,32.867,-117.257,-3,Scripps Pier,0.543,14.7356,4.831,33.3268
2012,2,1,4:34:15,32.867,-117.257,-3,Scripps Pier,0.55,14.7366,4.839,33.3272
2012,2,1,4:42:15,32.867,-117.257,-3,Scripps Pier,0.546,14.7318,4.831,33.3277
2012,2,1,4:50:15,32.867,-117.257,-3,Scripps Pier,0.547,14.7332,4.855,33.3279
2012,2,1,4:58:15,32.867,-117.257,-3,Scripps Pier,0.54,14.758,4.837,33.3273
2012,2,1,5:06:15,32.867,-117.257,-3,Scripps Pier,0.541,14.7585,4.851,33.3269
2012,2,1,5:14:15,32.867,-117.257,-3,Scripps Pier,0.548,14.7515,4.868,33.3269
2012,2,1,5:22:15,32.867,-117.257,-3,Scripps Pier,0.546,14.746,4.86,33.3274
2012,2,1,5:30:15,32.867,-117.257,-3,Scripps Pier,0.56,14.737,4.875,33.3277
2012,2,1,5:38:15,32.867,-117.257,-3,Scripps Pier,0.549,14.7269,4.883,33.328
2012,2,1,5:46:15,32.867,-117.257,-3,Scripps Pier,0.553,14.7229,4.884,33.3284
2012,2,1,5:54:15,32.867,-117.257,-3,Scripps Pier,0.545,14.7174,4.909,33.3285
2012,2,1,6:02:15,32.867,-117.257,-3,Scripps Pier,0.544,14.7175,4.903,33.3287
2012,2,1,6:10:15,32.867,-117.257,-3,Scripps Pier,0.542,14.7152,4.893,33.329
2012,2,1,6:18:15,32.867,-117.257,-3,Scripps Pier,0.539,14.7113,4.958,33.3287
2012,2,1,6:26:15,32.867,-117.257,-3,Scripps Pier,0.541,14.7082,4.954,33.3284
2012,2,1,6:34:15,32.867,-117.257,-3,Scripps Pier,0.533,14.7086,4.942,33.3286
2012,2,1,6:42:15,32.867,-117.257,-3,Scripps Pier,0.549,14.7053,4.959,33.3286
2012,2,1,6:50:15,32.867,-117.257,-3,Scripps Pier,0.53,14.7053,4.991,33.3288
2012,2,1,6:58:15,32.867,-117.257,-3,Scripps Pier,0.525,14.6985,5.001,33.3287
2012,2,1,7:06:15,32.867,-117.257,-3,Scripps Pier,0.532,14.6909,4.973,33.3286
2012,2,1,7:14:15,32.867,-117.257,-3,Scripps Pier,0.546,14.6628,4.994,33.3285
2012,2,1,7:22:15,32.867,-117.257,-3,Scripps Pier,0.537,14.6727,5.04,33.3277
2012,2,1,7:30:15,32.867,-117.257,-3,Scripps Pier,0.547,14.6331,5.05,33.3282
2012,2,1,7:38:15,32.867,-117.257,-3,Scripps Pier,0.544,14.6344,5.048,33.3283
2012,2,1,7:46:15,32.867,-117.257,-3,Scripps Pier,0.541,14.6548,5.062,33.3278
2012,2,1,7:54:15,32.867,-117.257,-3,Scripps Pier,0.535,14.6481,5.065,33.3282
2012,2,1,8:02:15,32.867,-117.257,-3,Scripps Pier,0.537,14.6037,5.075,33.3291
2012,2,1,8:10:15,32.867,-117.257,-3,Scripps Pier,0.538,14.6073,5.136,33.3286
2012,2,1,8:18:15,32.867,-117.257,-3,Scripps Pier,0.537,14.6234,5.158,33.3292
2012,2,1,8:26:15,32.867,-117.257,-3,Scripps Pier,0.533,14.6428,5.161,33.3289
2012,2,1,8:34:15,32.867,-117.257,-3,Scripps Pier,0.525,14.6647,5.153,33.3289
2012,2,1,8:42:15,32.867,-117.257,-3,Scripps Pier,0.521,14.6717,5.178,33.329
2012,2,1,8:50:15,32.867,-117.257,-3,Scripps Pier,0.517,14.6729,5.184,33.329
2012,2,1,8:58:15,32.867,-117.257,-3,Scripps Pier,0.517,14.6625,5.199,33.3292
2012,2,1,9:06:15,32.867,-117.257,-3,Scripps Pier,0.517,14.6349,5.24,33.3293
2012,2,1,9:14:15,32.867,-117.257,-3,Scripps Pier,0.521,14.5645,5.24,33.3294
2012,2,1,9:22:15,32.867,-117.257,-3,Scripps Pier,0.531,14.548,5.269,33.3296
2012,2,1,9:30:15,32.867,-117.257,-3,Scripps Pier,0.522,14.5583,5.296,33.3296
2012,2,1,9:38:15,32.867,-117.257,-3,Scripps Pier,0.52,14.5728,5.311,33.3295
2012,2,1,9:46:15,32.867,-117.257,-3,Scripps Pier,0.519,14.5742,5.322,33.3295
2012,2,1,9:54:15,32.867,-117.257,-3,Scripps Pier,0.52,14.586,5.343,33.3295
2012,2,1,10:02:15,32.867,-117.257,-3,Scripps Pier,0.517,14.582,5.345,33.3296
2012,2,1,10:10:15,32.867,-117.257,-3,Scripps Pier,0.522,14.5879,5.341,33.3295
2012,2,1,10:18:15,32.867,-117.257,-3,Scripps Pier,0.514,14.5719,5.356,33.3298
2012,2,1,10:26:15,32.867,-117.257,-3,Scripps Pier,0.515,14.5698,5.434,33.3297
2012,2,1,10:34:15,32.867,-117.257,-3,Scripps Pier,0.518,14.5491,5.406,33.3299
2012,2,1,10:42:15,32.867,-117.257,-3,Scripps Pier,0.515,14.5251,5.42,33.3298
2012,2,1,10:50:15,32.867,-117.257,-3,Scripps Pier,0.517,14.5379,5.378,33.3298
2012,2,1,10:58:15,32.867,-117.257,-3,Scripps Pier,0.512,14.5334,5.417,33.3296
2012,2,1,11:06:15,32.867,-117.257,-3,Scripps Pier,0.504,14.507,5.44,33.3303
2012,2,1,11:14:15,32.867,-117.257,-3,Scripps Pier,0.499,14.513,5.426,33.3303
2012,2,1,11:22:15,32.867,-117.257,-3,Scripps Pier,0.496,14.5116,5.443,33.3302
2012,2,1,11:30:15,32.867,-117.257,-3,Scripps Pier,0.497,14.5302,5.458,33.3299
2012,2,1,11:38:15,32.867,-117.257,-3,Scripps Pier,0.503,14.5818,5.481,33.3297
2012,2,1,11:46:15,32.867,-117.257,-3,Scripps Pier,0.5,14.5775,5.467,33.33
2012,2,1,11:54:15,32.867,-117.257,-3,Scripps Pier,0.493,14.5947,5.437,33.33
2012,2,1,12:02:15,32.867,-117.257,-3,Scripps Pier,0.486,14.5887,5.473,33.3305
2012,2,1,12:10:15,32.867,-117.257,-3,Scripps Pier,0.489,14.5693,5.444,33.3304
2012,2,1,12:18:15,32.867,-117.257,-3,Scripps Pier,0.475,14.5832,5.424,33.3306
2012,2,1,12:26:15,32.867,-117.257,-3,Scripps Pier,0.476,14.5829,5.472,33.3305
2012,2,1,12:34:15,32.867,-117.257,-3,Scripps Pier,0.472,14.5713,5.473,33.3309
2012,2,1,12:42:15,32.867,-117.257,-3,Scripps Pier,0.468,14.5612,5.394,33.331
2012,2,1,12:50:15,32.867,-117.257,-3,Scripps Pier,0.468,14.52,5.408,33.3313
2012,2,1,12:58:15,32.867,-117.257,-3,Scripps Pier,0.467,14.508,5.402,33.3312
2012,2,1,13:06:15,32.867,-117.257,-3,Scripps Pier,0.47,14.4595,5.405,33.3321
2012,2,1,13:14:15,32.867,-117.257,-3,Scripps Pier,0.468,14.4596,5.34,33.3321
2012,2,1,13:22:15,32.867,-117.257,-3,Scripps Pier,0.47,14.4605,5.383,33.3324
2012,2,1,13:30:15,32.867,-117.257,-3,Scripps Pier,0.459,14.4626,5.328,33.3321
2012,2,1,13:38:15,32.867,-117.257,-3,Scripps Pier,0.462,14.4629,5.331,33.3321
2012,2,1,13:46:15,32.867,-117.257,-3,Scripps Pier,0.451,14.4651,5.292,33.3323
2012,2,1,13:54:15,32.867,-117.257,-3,Scripps Pier,0.453,14.4743,5.293,33.3323
2012,2,1,14:02:15,32.867,-117.257,-3,Scripps Pier,0.448,14.4793,5.276,33.3322
2012,2,1,14:10:15,32.867,-117.257,-3,Scripps Pier,0.441,14.4884,5.254,33.3322
2012,2,1,14:18:15,32.867,-117.257,-3,Scripps Pier,0.439,14.5049,5.172,33.332
2012,2,1,14:26:15,32.867,-117.257,-3,Scripps Pier,0.45,14.5028,5.205,33.3323
2012,2,1,14:34:15,32.867,-117.257,-3,Scripps Pier,0.446,14.4913,5.168,33.3323
2012,2,1,14:42:15,32.867,-117.257,-3,Scripps Pier,0.457,14.4319,5.161,33.3314
2012,2,1,14:50:15,32.867,-117.257,-3,Scripps Pier,0.465,14.3672,5.147,33.3313
2012,2,1,14:58:15,32.867,-117.257,-3,Scripps Pier,0.47,14.3256,5.1,33.3297
