year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,1,1,0:06:15,32.867,-117.257,-3,Scripps Pier,1.496,14.8065,4.877,33.3467
2012,1,1,0:14:15,32.867,-117.257,-3,Scripps Pier,1.696,14.724,4.888,33.3473
2012,1,1,0:22:15,32.867,-117.257,-3,Scripps Pier,1.49,14.7465,4.849,33.3476
2012,1,1,0:30:15,32.867,-117.257,-3,Scripps Pier,1.162,14.8755,4.829,33.3485
2012,1,1,0:38:15,32.867,-117.257,-3,Scripps Pier,1.504,14.8611,4.769,33.3485
2012,1,1,0:46:15,32.867,-117.257,-3,Scripps Pier,1.551,14.8505,4.791,33.3486
2012,1,1,0:54:15,32.867,-117.257,-3,Scripps Pier,1.661,14.8482,4.784,33.3488
2012,1,1,1:02:15,32.867,-117.257,-3,Scripps Pier,1.584,14.8757,4.776,33.349
2012,1,1,1:10:15,32.867,-117.257,-3,Scripps Pier,1.505,14.8862,4.779,33.3486
2012,1,1,1:18:15,32.867,-117.257,-3,Scripps Pier,1.44,14.8896,4.733,33.3483
2012,1,1,1:26:15,32.867,-117.257,-3,Scripps Pier,1.374,14.8781,4.716,33.3484
2012,1,1,1:34:15,32.867,-117.257,-3,Scripps Pier,1.34,14.8795,4.706,33.3485
2012,1,1,1:42:15,32.867,-117.257,-3,Scripps Pier,1.278,14.8821,4.711,33.3486
2012,1,1,1:50:15,32.867,-117.257,-3,Scripps Pier,1.248,14.8795,4.725,33.3488
2012,1,1,1:58:15,32.867,-117.257,-3,Scripps Pier,1.489,14.9146,4.725,33.3495
2012,1,1,2:06:15,32.867,-117.257,-3,Scripps Pier,1.328,14.889,4.678,33.3492
2012,1,1,2:14:15,32.867,-117.257,-3,Scripps Pier,1.339,14.8929,4.613,33.3492
2012,1,1,2:22:15,32.867,-117.257,-3,Scripps Pier,1.399,14.8992,4.638,33.3493
2012,1,1,2:30:15,32.867,-117.257,-3,Scripps Pier,1.36,14.8982,4.583,33.3491
2012,1,1,2:38:15,32.867,-117.257,-3,Scripps Pier,1.317,14.8927,4.59,33.3494
2012,1,1,2:46:15,32.867,-117.257,-3,Scripps Pier,1.239,14.8888,4.611,33.3493
2012,1,1,2:54:15,32.867,-117.257,-3,Scripps Pier,1.166,14.8597,4.593,33.349
2012,1,1,3:02:15,32.867,-117.257,-3,Scripps Pier,1.28,14.902,4.563,33.3494
2012,1,1,3:10:15,32.867,-117.257,-3,Scripps Pier,1.361,14.9023,4.57,33.3493
2012,1,1,3:18:15,32.867,-117.257,-3,Scripps Pier,1.393,14.9,4.594,33.3493
2012,1,1,3:26:15,32.867,-117.257,-3,Scripps Pier,1.32,14.8892,4.551,33.3492
2012,1,1,3:34:15,32.867,-117.257,-3,Scripps Pier,1.138,14.8504,4.572,33.3491
2012,1,1,3:42:15,32.867,-117.257,-3,Scripps Pier,1.041,14.8203,4.598,33.3488
2012,1,1,3:50:15,32.867,-117.257,-3,Scripps Pier,0.828,14.7478,4.561,33.348
2012,1,1,3:58:15,32.867,-117.257,-3,Scripps Pier,0.796,14.7023,4.573,33.3476
2012,1,1,4:06:15,32.867,-117.257,-3,Scripps Pier,0.838,14.713,4.574,33.3476
2012,1,1,4:14:15,32.867,-117.257,-3,Scripps Pier,0.829,14.7025,4.57,33.3477
2012,1,1,4:22:15,32.867,-117.257,-3,Scripps Pier,0.868,14.7133,4.589,33.3476
2012,1,1,4:30:15,32.867,-117.257,-3,Scripps Pier,0.903,14.7136,4.555,33.3475
2012,1,1,4:38:15,32.867,-117.257,-3,Scripps Pier,0.919,14.721,4.612,33.3477
2012,1,1,4:46:15,32.867,-117.257,-3,Scripps Pier,1.001,14.6914,4.595,33.3475
2012,1,1,4:54:15,32.867,-117.257,-3,Scripps Pier,1.133,14.6677,4.604,33.3471
2012,1,1,5:02:15,32.867,-117.257,-3,Scripps Pier,1.231,14.6772,4.609,33.3474
2012,1,1,5:10:15,32.867,-117.257,-3,Scripps Pier,1.247,14.6614,4.654,33.3472
2012,1,1,5:18:15,32.867,-117.257,-3,Scripps Pier,1.276,14.6439,4.624,33.3469
2012,1,1,5:26:15,32.867,-117.257,-3,Scripps Pier,1.366,14.628,4.646,33.3467
2012,1,1,5:34:15,32.867,-117.257,-3,Scripps Pier,1.81,14.59,4.708,33.3465
2012,1,1,5:42:15,32.867,-117.257,-3,Scripps Pier,1.539,14.5711,4.694,33.3466
2012,1,1,5:50:15,32.867,-117.257,-3,Scripps Pier,1.405,14.616,4.729,33.3469
2012,1,1,5:58:15,32.867,-117.257,-3,Scripps Pier,1.318,14.6096,4.701,33.3468
2012,1,1,6:06:15,32.867,-117.257,-3,Scripps Pier,1.362,14.6174,4.723,33.3477
2012,1,1,6:14:15,32.867,-117.257,-3,Scripps Pier,1.319,14.6415,4.778,33.3473
2012,1,1,6:22:15,32.867,-117.257,-3,Scripps Pier,1.311,14.6644,4.789,33.3476
2012,1,1,6:30:15,32.867,-117.257,-3,Scripps Pier,1.352,14.6566,4.831,33.3473
2012,1,1,6:38:15,32.867,-117.257,-3,Scripps Pier,1.213,14.5717,4.837,33.3469
2012,1,1,6:46:15,32.867,-117.257,-3,Scripps Pier,1.318,14.5569,4.828,33.3467
2012,1,1,6:54:15,32.867,-117.257,-3,Scripps Pier,1.34,14.5279,4.902,33.3469
