year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,7,1,0:02:50,32.867,-117.257,-3,Scripps Pier,1.538,20.589,5.618,33.6193
2012,7,1,0:07:09,32.867,-117.257,-3,Scripps Pier,1.387,20.6691,5.671,33.6206
2012,7,1,0:11:28,32.867,-117.257,-3,Scripps Pier,1.352,20.7524,5.736,33.6221
2012,7,1,0:15:47,32.867,-117.257,-3,Scripps Pier,1.434,20.6601,5.667,33.62
2012,7,1,0:20:06,32.867,-117.257,-3,Scripps Pier,1.395,20.697,5.722,33.6191
2012,7,1,0:24:25,32.867,-117.257,-3,Scripps Pier,1.43,20.689,5.779,33.6186
2012,7,1,0:28:44,32.867,-117.257,-3,Scripps Pier,1.498,20.6828,5.777,33.6172
2012,7,1,0:33:03,32.867,-117.257,-3,Scripps Pier,1.543,20.6788,5.773,33.6173
2012,7,1,0:37:22,32.867,-117.257,-3,Scripps Pier,1.559,20.6712,5.801,33.6173
2012,7,1,0:41:41,32.867,-117.257,-3,Scripps Pier,1.566,20.6548,5.835,33.6169
2012,7,1,0:46:00,32.867,-117.257,-3,Scripps Pier,1.569,20.6773,5.837,33.6178
2012,7,1,0:50:19,32.867,-117.257,-3,Scripps Pier,1.604,20.6185,5.874,33.617
2012,7,1,0:54:38,32.867,-117.257,-3,Scripps Pier,1.591,20.6367,5.841,33.6174
2012,7,1,0:58:57,32.867,-117.257,-3,Scripps Pier,1.708,20.6201,5.896,33.6178
2012,7,1,1:03:16,32.867,-117.257,-3,Scripps Pier,1.542,20.7177,5.845,33.6197
2012,7,1,1:07:35,32.867,-117.257,-3,Scripps Pier,1.583,20.7564,5.899,33.6204
2012,7,1,1:11:54,32.867,-117.257,-3,Scripps Pier,1.553,20.7508,5.931,33.6203
2012,7,1,1:16:13,32.867,-117.257,-3,Scripps Pier,1.607,20.73,5.898,33.6203
2012,7,1,1:20:32,32.867,-117.257,-3,Scripps Pier,1.552,20.7104,5.94,33.6202
2012,7,1,1:24:51,32.867,-117.257,-3,Scripps Pier,1.575,20.6831,5.954,33.6197
2012,7,1,1:29:10,32.867,-117.257,-3,Scripps Pier,1.576,20.6668,5.956,33.6199
