year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,6,1,0:04:07,32.867,-117.257,-3,Scripps Pier,0.779,20.1684,5.581,33.6578
2012,6,1,0:08:26,32.867,-117.257,-3,Scripps Pier,0.86,20.1628,5.605,33.6553
2012,6,1,0:12:45,32.867,-117.257,-3,Scripps Pier,0.855,20.1885,5.569,33.6577
2012,6,1,0:17:04,32.867,-117.257,-3,Scripps Pier,0.902,20.1925,5.624,33.6569
2012,6,1,0:21:23,32.867,-117.257,-3,Scripps Pier,0.928,20.1627,5.633,33.6604
2012,6,1,0:25:42,32.867,-117.257,-3,Scripps Pier,0.959,20.1511,5.637,33.6587
2012,6,1,0:30:01,32.867,-117.257,-3,Scripps Pier,1.02,20.1266,5.662,33.6581
2012,6,1,0:34:20,32.867,-117.257,-3,Scripps Pier,1.077,20.1099,5.654,33.6641
2012,6,1,0:38:39,32.867,-117.257,-3,Scripps Pier,0.825,20.068,5.67,33.66
2012,6,1,0:42:58,32.867,-117.257,-3,Scripps Pier,0.78,20.1034,5.701,33.6587
2012,6,1,0:47:17,32.867,-117.257,-3,Scripps Pier,0.713,20.0861,5.707,33.6564
2012,6,1,0:51:36,32.867,-117.257,-3,Scripps Pier,0.72,20.0844,5.715,33.6572
2012,6,1,0:55:55,32.867,-117.257,-3,Scripps Pier,0.787,20.0864,5.722,33.6591
2012,6,1,1:00:14,32.867,-117.257,-3,Scripps Pier,0.727,20.0675,5.714,33.656
2012,6,1,1:04:33,32.867,-117.257,-3,Scripps Pier,0.837,20.0443,5.761,33.6584
2012,6,1,1:08:52,32.867,-117.257,-3,Scripps Pier,0.738,20.0273,5.748,33.6556
2012,6,1,1:13:11,32.867,-117.257,-3,Scripps Pier,0.76,19.5939,5.757,33.8081
2012,6,1,1:17:30,32.867,-117.257,-3,Scripps Pier,0.874,19.6597,5.766,33.667
2012,6,1,1:21:49,32.867,-117.257,-3,Scripps Pier,0.876,19.4603,5.766,33.7337
2012,6,1,1:26:08,32.867,-117.257,-3,Scripps Pier,0.896,19.5078,5.744,33.6825
2012,6,1,1:30:27,32.867,-117.257,-3,Scripps Pier,0.929,19.5771,5.781,33.6992
2012,6,1,1:34:46,32.867,-117.257,-3,Scripps Pier,0.962,19.5839,5.785,33.6989
2012,6,1,1:39:05,32.867,-117.257,-3,Scripps Pier,1.013,19.6478,5.781,33.6625
2012,6,1,1:43:24,32.867,-117.257,-3,Scripps Pier,1.324,19.3781,5.798,33.6957
2012,6,1,1:47:43,32.867,-117.257,-3,Scripps Pier,1.622,19.2774,5.767,33.6584
2012,6,1,1:52:02,32.867,-117.257,-3,Scripps Pier,1.462,19.1927,5.781,33.6757
2012,6,1,1:56:21,32.867,-117.257,-3,Scripps Pier,1.542,19.2357,5.751,33.6485
2012,6,1,2:00:40,32.867,-117.257,-3,Scripps Pier,1.496,18.8418,5.763,33.7812
2012,6,1,2:04:59,32.867,-117.257,-3,Scripps Pier,1.567,18.7617,5.751,33.6562
2012,6,1,2:09:18,32.867,-117.257,-3,Scripps Pier,1.59,18.8406,5.747,33.6699
2012,6,1,2:13:37,32.867,-117.257,-3,Scripps Pier,1.575,18.7926,5.732,33.6816
2012,6,1,2:17:56,32.867,-117.257,-3,Scripps Pier,1.59,18.8004,5.734,33.6568
2012,6,1,2:22:15,32.867,-117.257,-3,Scripps Pier,1.733,18.8811,5.705,33.6397
2012,6,1,2:26:34,32.867,-117.257,-3,Scripps Pier,1.737,18.8636,5.695,33.6411
2012,6,1,2:30:53,32.867,-117.257,-3,Scripps Pier,1.714,18.9594,5.668,33.6441
2012,6,1,2:35:12,32.867,-117.257,-3,Scripps Pier,1.6,19.032,5.668,33.637
2012,6,1,2:39:31,32.867,-117.257,-3,Scripps Pier,1.742,18.9941,5.653,33.6418
2012,6,1,2:43:50,32.867,-117.257,-3,Scripps Pier,1.766,18.9522,5.662,33.6502
2012,6,1,2:48:09,32.867,-117.257,-3,Scripps Pier,1.845,18.9051,5.644,33.652
2012,6,1,2:52:28,32.867,-117.257,-3,Scripps Pier,1.667,18.8607,5.619,33.6676
2012,6,1,2:56:47,32.867,-117.257,-3,Scripps Pier,1.631,18.8055,5.654,33.6618
2012,6,1,3:01:06,32.867,-117.257,-3,Scripps Pier,1.63,18.7894,5.579,33.651
2012,6,1,3:05:25,32.867,-117.257,-3,Scripps Pier,1.664,18.8529,5.551,33.6473
