year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,3,1,0:06:15,32.867,-117.257,-3,Scripps Pier,1.09,14.9261,4.732,33.2941
2012,3,1,0:14:15,32.867,-117.257,-3,Scripps Pier,1.11,14.8968,4.744,33.2943
2012,3,1,0:22:15,32.867,-117.257,-3,Scripps Pier,1.107,14.9085,4.762,33.2935
2012,3,1,0:30:15,32.867,-117.257,-3,Scripps Pier,1.105,15.0002,4.72,33.288
2012,3,1,0:38:15,32.867,-117.257,-3,Scripps Pier,1.112,14.9811,4.728,33.2874
2012,3,1,0:46:15,32.867,-117.257,-3,Scripps Pier,1.125,14.7771,4.757,33.2925
2012,3,1,0:54:15,32.867,-117.257,-3,Scripps Pier,1.122,14.7429,4.765,33.2931
2012,3,1,1:02:15,32.867,-117.257,-3,Scripps Pier,1.13,14.7422,4.798,33.293
2012,3,1,1:10:15,32.867,-117.257,-3,Scripps Pier,1.139,14.7217,4.758,33.2923
2012,3,1,1:18:15,32.867,-117.257,-3,Scripps Pier,1.148,14.6917,4.755,33.2919
2012,3,1,1:26:15,32.867,-117.257,-3,Scripps Pier,1.152,14.6953,4.762,33.2896
2012,3,1,1:34:15,32.867,-117.257,-3,Scripps Pier,1.148,14.692,4.763,33.2856
2012,3,1,1:42:15,32.867,-117.257,-3,Scripps Pier,1.16,14.6688,4.767,33.2866
2012,3,1,1:50:15,32.867,-117.257,-3,Scripps Pier,1.168,14.6616,4.804,33.289
2012,3,1,1:58:15,32.867,-117.257,-3,Scripps Pier,1.164,14.6945,4.747,33.273
2012,3,1,2:06:15,32.867,-117.257,-3,Scripps Pier,1.178,14.6635,4.769,33.2732
2012,3,1,2:14:15,32.867,-117.257,-3,Scripps Pier,1.191,14.5751,4.799,33.2813
2012,3,1,2:22:15,32.867,-117.257,-3,Scripps Pier,1.195,14.6106,4.81,33.2839
2012,3,1,2:30:15,32.867,-117.257,-3,Scripps Pier,1.185,14.6137,4.816,33.2553
2012,3,1,2:38:15,32.867,-117.257,-3,Scripps Pier,1.172,14.663,4.793,33.2277
2012,3,1,2:46:15,32.867,-117.257,-3,Scripps Pier,1.175,14.5236,4.811,33.2497
2012,3,1,2:54:15,32.867,-117.257,-3,Scripps Pier,1.182,14.5187,4.818,33.2491
2012,3,1,3:02:15,32.867,-117.257,-3,Scripps Pier,1.18,14.5572,4.794,33.2307
2012,3,1,3:10:15,32.867,-117.257,-3,Scripps Pier,1.179,14.544,4.821,33.2514
2012,3,1,3:18:15,32.867,-117.257,-3,Scripps Pier,1.177,14.532,4.808,33.245
2012,3,1,3:26:15,32.867,-117.257,-3,Scripps Pier,1.181,14.5396,4.811,33.2363
2012,3,1,3:34:15,32.867,-117.257,-3,Scripps Pier,1.175,14.5431,4.817,33.2338
2012,3,1,3:42:15,32.867,-117.257,-3,Scripps Pier,1.177,14.5315,4.818,33.2233
2012,3,1,3:50:15,32.867,-117.257,-3,Scripps Pier,1.175,14.4958,4.847,33.2311
2012,3,1,3:58:15,32.867,-117.257,-3,Scripps Pier,1.177,14.5029,4.854,33.2351
2012,3,1,4:06:15,32.867,-117.257,-3,Scripps Pier,1.167,14.4859,4.818,33.2177
2012,3,1,4:14:15,32.867,-117.257,-3,Scripps Pier,1.16,14.4884,4.841,33.2166
2012,3,1,4:22:15,32.867,-117.257,-3,Scripps Pier,1.16,14.4847,4.838,33.2047
2012,3,1,4:30:15,32.867,-117.257,-3,Scripps Pier,1.158,14.4835,4.854,33.2136
2012,3,1,4:38:15,32.867,-117.257,-3,Scripps Pier,1.155,14.4728,4.839,33.2053
2012,3,1,4:46:15,32.867,-117.257,-3,Scripps Pier,1.166,14.4741,4.82,33.218
2012,3,1,4:54:15,32.867,-117.257,-3,Scripps Pier,1.155,14.4611,4.852,33.1946
2012,3,1,5:02:15,32.867,-117.257,-3,Scripps Pier,1.159,14.4534,4.859,33.1973
2012,3,1,5:10:15,32.867,-117.257,-3,Scripps Pier,1.158,14.4369,4.893,33.1984
2012,3,1,5:18:15,32.867,-117.257,-3,Scripps Pier,1.158,14.4281,4.874,33.1951
2012,3,1,5:26:15,32.867,-117.257,-3,Scripps Pier,1.164,14.4449,4.904,33.2131
2012,3,1,5:34:15,32.867,-117.257,-3,Scripps Pier,1.164,14.4648,4.935,33.2337
2012,3,1,5:42:15,32.867,-117.257,-3,Scripps Pier,1.158,14.479,4.957,33.2412
2012,3,1,5:50:15,32.867,-117.257,-3,Scripps Pier,1.158,14.4864,4.936,33.2448
2012,3,1,5:58:15,32.867,-117.257,-3,Scripps Pier,1.158,14.4492,4.972,33.2258
2012,3,1,6:06:15,32.867,-117.257,-3,Scripps Pier,1.148,14.3975,4.981,33.1882
2012,3,1,6:14:15,32.867,-117.257,-3,Scripps Pier,1.154,14.4161,4.966,33.2035
2012,3,1,6:22:15,32.867,-117.257,-3,Scripps Pier,1.148,14.444,4.988,33.2234
2012,3,1,6:30:15,32.867,-117.257,-3,Scripps Pier,1.162,14.4297,4.978,33.2215
2012,3,1,6:38:15,32.867,-117.257,-3,Scripps Pier,1.148,14.4062,5.012,33.2019
2012,3,1,6:46:15,32.867,-117.257,-3,Scripps Pier,1.15,14.359,5.008,33.1745
2012,3,1,6:54:15,32.867,-117.257,-3,Scripps Pier,1.151,14.3409,5.029,33.1646
2012,3,1,7:02:15,32.867,-117.257,-3,Scripps Pier,1.149,14.3844,5.032,33.1915
2012,3,1,7:10:15,32.867,-117.257,-3,Scripps Pier,1.161,14.4118,5.03,33.2094
2012,3,1,7:18:15,32.867,-117.257,-3,Scripps Pier,1.151,14.3979,5.035,33.2134
2012,3,1,7:26:15,32.867,-117.257,-3,Scripps Pier,1.15,14.3811,5.061,33.2076
2012,3,1,7:34:15,32.867,-117.257,-3,Scripps Pier,1.143,14.3441,5.072,33.1835
2012,3,1,7:42:15,32.867,-117.257,-3,Scripps Pier,1.137,14.3147,5.085,33.1624
2012,3,1,7:50:15,32.867,-117.257,-3,Scripps Pier,1.14,14.335,5.112,33.1841
2012,3,1,7:58:15,32.867,-117.257,-3,Scripps Pier,1.137,14.3665,5.088,33.205
2012,3,1,8:06:15,32.867,-117.257,-3,Scripps Pier,1.13,14.37,5.128,33.2105
2012,3,1,8:14:15,32.867,-117.257,-3,Scripps Pier,1.128,14.3021,5.141,33.1853
2012,3,1,8:22:15,32.867,-117.257,-3,Scripps Pier,1.129,14.2785,5.149,33.1702
2012,3,1,8:30:15,32.867,-117.257,-3,Scripps Pier,1.127,14.2545,5.142,33.1535
2012,3,1,8:38:15,32.867,-117.257,-3,Scripps Pier,1.126,14.239,5.184,33.1435
2012,3,1,8:46:15,32.867,-117.257,-3,Scripps Pier,1.126,14.2447,5.175,33.1578
2012,3,1,8:54:15,32.867,-117.257,-3,Scripps Pier,1.122,14.2661,5.202,33.1761
2012,3,1,9:02:15,32.867,-117.257,-3,Scripps Pier,1.122,14.2704,5.208,33.1767
2012,3,1,9:10:15,32.867,-117.257,-3,Scripps Pier,1.125,14.2736,5.175,33.1773
2012,3,1,9:18:15,32.867,-117.257,-3,Scripps Pier,1.119,14.2751,5.221,33.1742
2012,3,1,9:26:15,32.867,-117.257,-3,Scripps Pier,1.122,14.237,5.228,33.1532
2012,3,1,9:34:15,32.867,-117.257,-3,Scripps Pier,1.123,14.2319,5.207,33.1465
2012,3,1,9:42:15,32.867,-117.257,-3,Scripps Pier,1.12,14.2191,5.257,33.1468
2012,3,1,9:50:15,32.867,-117.257,-3,Scripps Pier,1.12,14.2166,5.237,33.1435
2012,3,1,9:58:15,32.867,-117.257,-3,Scripps Pier,1.12,14.1967,5.238,33.1159
2012,3,1,10:06:15,32.867,-117.257,-3,Scripps Pier,1.119,14.2048,5.249,33.1375
2012,3,1,10:14:15,32.867,-117.257,-3,Scripps Pier,1.123,14.2201,5.24,33.1516
2012,3,1,10:22:15,32.867,-117.257,-3,Scripps Pier,1.117,14.2348,5.254,33.1649
2012,3,1,10:30:15,32.867,-117.257,-3,Scripps Pier,1.114,14.2426,5.24,33.1701
2012,3,1,10:38:15,32.867,-117.257,-3,Scripps Pier,1.113,14.2418,5.249,33.1732
2012,3,1,10:46:15,32.867,-117.257,-3,Scripps Pier,1.109,14.2287,5.252,33.1632
2012,3,1,10:54:15,32.867,-117.257,-3,Scripps Pier,1.119,14.2224,5.255,33.1575
2012,3,1,11:02:15,32.867,-117.257,-3,Scripps Pier,1.103,14.1982,5.254,33.1398
2012,3,1,11:10:15,32.867,-117.257,-3,Scripps Pier,1.102,14.1922,5.264,33.1272
2012,3,1,11:18:15,32.867,-117.257,-3,Scripps Pier,1.098,14.1888,5.237,33.1233
2012,3,1,11:26:15,32.867,-117.257,-3,Scripps Pier,1.099,14.1772,5.213,33.1197
2012,3,1,11:34:15,32.867,-117.257,-3,Scripps Pier,1.095,14.1835,5.223,33.1261
2012,3,1,11:42:15,32.867,-117.257,-3,Scripps Pier,1.099,14.1902,5.194,33.129
2012,3,1,11:50:15,32.867,-117.257,-3,Scripps Pier,1.094,14.1801,5.214,33.1162
2012,3,1,11:58:15,32.867,-117.257,-3,Scripps Pier,1.09,14.1711,5.168,33.1008
2012,3,1,12:06:15,32.867,-117.257,-3,Scripps Pier,1.096,14.174,5.155,33.1034
2012,3,1,12:14:15,32.867,-117.257,-3,Scripps Pier,1.091,14.1893,5.165,33.1301
2012,3,1,12:22:15,32.867,-117.257,-3,Scripps Pier,1.093,14.1714,5.146,33.1134
