year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,5,1,0:06:15,32.867,-117.257,-3,Scripps Pier,0.628,16.6535,5.243,33.5088
2012,5,1,0:14:15,32.867,-117.257,-3,Scripps Pier,0.646,16.6513,5.224,33.5072
2012,5,1,0:22:15,32.867,-117.257,-3,Scripps Pier,0.633,16.651,5.278,33.5087
2012,5,1,0:30:15,32.867,-117.257,-3,Scripps Pier,0.625,16.6476,5.263,33.5091
2012,5,1,0:38:15,32.867,-117.257,-3,Scripps Pier,0.628,16.6409,5.272,33.5096
2012,5,1,0:46:15,32.867,-117.257,-3,Scripps Pier,0.615,16.6383,5.327,33.5093
2012,5,1,0:54:15,32.867,-117.257,-3,Scripps Pier,0.617,16.6364,5.315,33.5088
2012,5,1,1:02:15,32.867,-117.257,-3,Scripps Pier,0.621,16.6332,5.353,33.5093
2012,5,1,1:10:15,32.867,-117.257,-3,Scripps Pier,0.621,16.626,5.345,33.5091
2012,5,1,1:18:15,32.867,-117.257,-3,Scripps Pier,0.618,16.6247,5.326,33.5092
2012,5,1,1:26:15,32.867,-117.257,-3,Scripps Pier,0.62,16.6276,5.336,33.5091
2012,5,1,1:34:15,32.867,-117.257,-3,Scripps Pier,0.63,16.6201,5.253,33.5088
2012,5,1,1:42:15,32.867,-117.257,-3,Scripps Pier,0.644,16.6169,5.324,33.5077
2012,5,1,1:50:15,32.867,-117.257,-3,Scripps Pier,0.624,16.6105,5.288,33.5086
2012,5,1,1:58:15,32.867,-117.257,-3,Scripps Pier,0.643,16.5988,5.301,33.508
2012,5,1,2:06:15,32.867,-117.257,-3,Scripps Pier,0.646,16.5946,5.267,33.5077
2012,5,1,2:14:15,32.867,-117.257,-3,Scripps Pier,0.644,16.5924,5.237,33.5089
2012,5,1,2:22:15,32.867,-117.257,-3,Scripps Pier,0.642,16.5928,5.283,33.509
2012,5,1,2:30:15,32.867,-117.257,-3,Scripps Pier,0.652,16.5903,5.214,33.5087
2012,5,1,2:38:15,32.867,-117.257,-3,Scripps Pier,0.636,16.5891,5.231,33.5093
2012,5,1,2:46:15,32.867,-117.257,-3,Scripps Pier,0.634,16.5887,5.206,33.5093
2012,5,1,2:54:15,32.867,-117.257,-3,Scripps Pier,0.636,16.5901,5.174,33.509
2012,5,1,3:02:15,32.867,-117.257,-3,Scripps Pier,0.66,16.5886,5.178,33.5092
2012,5,1,3:10:15,32.867,-117.257,-3,Scripps Pier,0.657,16.5842,5.111,33.5092
2012,5,1,3:18:15,32.867,-117.257,-3,Scripps Pier,0.652,16.5823,5.119,33.5094
2012,5,1,3:26:15,32.867,-117.257,-3,Scripps Pier,0.652,16.5808,5.07,33.5098
2012,5,1,3:34:15,32.867,-117.257,-3,Scripps Pier,0.644,16.5816,5.059,33.5092
2012,5,1,3:42:15,32.867,-117.257,-3,Scripps Pier,0.65,16.5815,5.055,33.5093
2012,5,1,3:50:15,32.867,-117.257,-3,Scripps Pier,0.652,16.5724,4.971,33.51
2012,5,1,3:58:15,32.867,-117.257,-3,Scripps Pier,0.638,16.5734,4.994,33.5098
2012,5,1,4:06:15,32.867,-117.257,-3,Scripps Pier,0.649,16.5839,4.96,33.5084
2012,5,1,4:14:15,32.867,-117.257,-3,Scripps Pier,0.653,16.5973,4.951,33.5086
2012,5,1,4:22:15,32.867,-117.257,-3,Scripps Pier,0.634,16.6135,4.937,33.5079
2012,5,1,4:30:15,32.867,-117.257,-3,Scripps Pier,0.628,16.6188,4.874,33.5089
2012,5,1,4:38:15,32.867,-117.257,-3,Scripps Pier,0.625,16.6242,4.852,33.5091
2012,5,1,4:46:15,32.867,-117.257,-3,Scripps Pier,0.62,16.6238,4.853,33.509
2012,5,1,4:54:15,32.867,-117.257,-3,Scripps Pier,0.619,16.6273,4.811,33.5096
2012,5,1,5:02:15,32.867,-117.257,-3,Scripps Pier,0.616,16.6289,4.767,33.51
2012,5,1,5:10:15,32.867,-117.257,-3,Scripps Pier,0.657,16.6269,4.734,33.5218
2012,5,1,5:18:15,32.867,-117.257,-3,Scripps Pier,0.631,16.6092,4.755,33.5299
2012,5,1,5:26:15,32.867,-117.257,-3,Scripps Pier,0.601,16.6009,4.709,33.5302
2012,5,1,5:34:15,32.867,-117.257,-3,Scripps Pier,0.599,16.6142,4.699,33.5355
2012,5,1,5:42:15,32.867,-117.257,-3,Scripps Pier,0.584,16.6106,4.673,33.5392
2012,5,1,5:50:15,32.867,-117.257,-3,Scripps Pier,0.59,16.6093,4.677,33.5409
2012,5,1,5:58:15,32.867,-117.257,-3,Scripps Pier,0.585,16.5952,4.61,33.5467
2012,5,1,6:06:15,32.867,-117.257,-3,Scripps Pier,0.583,16.5972,4.648,33.5494
2012,5,1,6:14:15,32.867,-117.257,-3,Scripps Pier,0.579,16.5972,4.613,33.5527
2012,5,1,6:22:15,32.867,-117.257,-3,Scripps Pier,0.586,16.5966,4.595,33.5541
2012,5,1,6:30:15,32.867,-117.257,-3,Scripps Pier,0.576,16.6036,4.569,33.5546
2012,5,1,6:38:15,32.867,-117.257,-3,Scripps Pier,0.595,16.6046,4.562,33.5569
2012,5,1,6:46:15,32.867,-117.257,-3,Scripps Pier,0.575,16.5993,4.56,33.5572
2012,5,1,6:54:15,32.867,-117.257,-3,Scripps Pier,0.573,16.6006,4.537,33.5569
2012,5,1,7:02:15,32.867,-117.257,-3,Scripps Pier,0.552,16.5963,4.562,33.5582
2012,5,1,7:10:15,32.867,-117.257,-3,Scripps Pier,0.575,16.5863,4.541,33.5588
2012,5,1,7:18:15,32.867,-117.257,-3,Scripps Pier,0.584,16.5885,4.546,33.5572
2012,5,1,7:26:15,32.867,-117.257,-3,Scripps Pier,0.559,16.589,4.574,33.5592
2012,5,1,7:34:15,32.867,-117.257,-3,Scripps Pier,0.557,16.5884,4.566,33.5601
2012,5,1,7:42:15,32.867,-117.257,-3,Scripps Pier,0.563,16.5933,4.585,33.5602
2012,5,1,7:50:15,32.867,-117.257,-3,Scripps Pier,0.558,16.5907,4.57,33.5605
2012,5,1,7:58:15,32.867,-117.257,-3,Scripps Pier,0.55,16.5907,4.619,33.5609
2012,5,1,8:06:15,32.867,-117.257,-3,Scripps Pier,0.553,16.5873,4.586,33.5613
2012,5,1,8:14:15,32.867,-117.257,-3,Scripps Pier,0.564,16.5921,4.605,33.5608
2012,5,1,8:22:15,32.867,-117.257,-3,Scripps Pier,0.546,16.5998,4.605,33.5621
2012,5,1,8:30:15,32.867,-117.257,-3,Scripps Pier,0.542,16.5883,4.628,33.5622
2012,5,1,8:38:15,32.867,-117.257,-3,Scripps Pier,0.54,16.6196,4.642,33.5621
2012,5,1,8:46:15,32.867,-117.257,-3,Scripps Pier,0.537,16.6401,4.635,33.5615
2012,5,1,8:54:15,32.867,-117.257,-3,Scripps Pier,0.539,16.6246,4.703,33.5627
2012,5,1,9:02:15,32.867,-117.257,-3,Scripps Pier,0.535,16.6395,4.718,33.5617
2012,5,1,9:10:15,32.867,-117.257,-3,Scripps Pier,0.532,16.6399,4.73,33.5625
2012,5,1,9:18:15,32.867,-117.257,-3,Scripps Pier,0.539,16.6316,4.768,33.5623
2012,5,1,9:26:15,32.867,-117.257,-3,Scripps Pier,0.521,16.6313,4.773,33.5627
2012,5,1,9:34:15,32.867,-117.257,-3,Scripps Pier,0.527,16.6216,4.773,33.5629
2012,5,1,9:42:15,32.867,-117.257,-3,Scripps Pier,0.525,16.6423,4.829,33.5622
2012,5,1,9:50:15,32.867,-117.257,-3,Scripps Pier,0.518,16.6531,4.867,33.5625
2012,5,1,9:58:15,32.867,-117.257,-3,Scripps Pier,0.526,16.6563,4.885,33.5621
2012,5,1,10:06:15,32.867,-117.257,-3,Scripps Pier,0.521,16.6506,4.915,33.5623
2012,5,1,10:14:15,32.867,-117.257,-3,Scripps Pier,0.521,16.6606,4.97,33.5622
2012,5,1,10:22:15,32.867,-117.257,-3,Scripps Pier,0.516,16.6665,4.988,33.5625
2012,5,1,10:30:15,32.867,-117.257,-3,Scripps Pier,0.516,16.6773,4.989,33.5621
2012,5,1,10:38:15,32.867,-117.257,-3,Scripps Pier,0.515,16.6782,4.994,33.5617
2012,5,1,10:46:15,32.867,-117.257,-3,Scripps Pier,0.511,16.6741,5.05,33.5623
2012,5,1,10:54:15,32.867,-117.257,-3,Scripps Pier,0.524,16.6725,5.073,33.5613
2012,5,1,11:02:15,32.867,-117.257,-3,Scripps Pier,0.516,16.6204,5.086,33.5635
2012,5,1,11:10:15,32.867,-117.257,-3,Scripps Pier,0.512,16.6423,5.125,33.5626
2012,5,1,11:18:15,32.867,-117.257,-3,Scripps Pier,0.511,16.6355,5.122,33.5629
2012,5,1,11:26:15,32.867,-117.257,-3,Scripps Pier,0.51,16.6341,5.135,33.5631
2012,5,1,11:34:15,32.867,-117.257,-3,Scripps Pier,0.515,16.6181,5.161,33.563
2012,5,1,11:42:15,32.867,-117.257,-3,Scripps Pier,0.516,16.6169,5.186,33.5629
2012,5,1,11:50:15,32.867,-117.257,-3,Scripps Pier,0.502,16.65,5.214,33.5628
2012,5,1,11:58:15,32.867,-117.257,-3,Scripps Pier,0.501,16.6574,5.205,33.5626
2012,5,1,12:06:15,32.867,-117.257,-3,Scripps Pier,0.498,16.6591,5.249,33.5627
2012,5,1,12:14:15,32.867,-117.257,-3,Scripps Pier,0.502,16.657,5.24,33.563
2012,5,1,12:22:15,32.867,-117.257,-3,Scripps Pier,0.505,16.6523,5.237,33.5627
2012,5,1,12:30:15,32.867,-117.257,-3,Scripps Pier,0.498,16.6484,5.258,33.5631
2012,5,1,12:38:15,32.867,-117.257,-3,Scripps Pier,0.503,16.6467,5.271,33.5633
2012,5,1,12:46:15,32.867,-117.257,-3,Scripps Pier,0.495,16.6432,5.294,33.5632
2012,5,1,12:54:15,32.867,-117.257,-3,Scripps Pier,0.501,16.6326,5.291,33.5633
2012,5,1,13:02:15,32.867,-117.257,-3,Scripps Pier,0.502,16.6216,5.25,33.5636
