"year","month","day","time","latitude","longitude","depth..m.","location","Chlorophyll..ug.L.","Water.Temperature..C.","Pressure..dbar.","Salinity..PSU."
2012,11,1,"00:03:02",32.867,-117.257,-3,"Scripps Pier",1.764,18.9082,4.109,33.1538
2012,11,1,"00:07:02",32.867,-117.257,-3,"Scripps Pier",1.793,18.8843,4.094,33.1536
2012,11,1,"00:11:02",32.867,-117.257,-3,"Scripps Pier",1.789,18.8737,4.103,33.1534
2012,11,1,"00:15:02",32.867,-117.257,-3,"Scripps Pier",1.783,18.8822,4.078,33.1532
2012,11,1,"00:19:02",32.867,-117.257,-3,"Scripps Pier",1.779,18.8454,4.075,33.153
2012,11,1,"00:23:02",32.867,-117.257,-3,"Scripps Pier",1.762,18.8305,4.09,33.1526
2012,11,1,"00:27:02",32.867,-117.257,-3,"Scripps Pier",1.802,18.8089,4.107,33.152
2012,11,1,"00:31:02",32.867,-117.257,-3,"Scripps Pier",1.821,18.8034,4.11,33.1515
2012,11,1,"00:35:02",32.867,-117.257,-3,"Scripps Pier",1.801,18.8059,4.146,33.1517
2012,11,1,"00:39:02",32.867,-117.257,-3,"Scripps Pier",1.847,18.8255,4.114,33.1526
2012,11,1,"00:43:02",32.867,-117.257,-3,"Scripps Pier",1.85,18.8202,4.141,33.1522
2012,11,1,"00:47:02",32.867,-117.257,-3,"Scripps Pier",1.852,18.8148,4.131,33.152
2012,11,1,"00:51:02",32.867,-117.257,-3,"Scripps Pier",1.858,18.7933,4.129,33.152
2012,11,1,"00:55:02",32.867,-117.257,-3,"Scripps Pier",1.855,18.7757,4.162,33.1513
2012,11,1,"00:59:02",32.867,-117.257,-3,"Scripps Pier",1.839,18.7693,4.167,33.1514
2012,11,1,"01:03:02",32.867,-117.257,-3,"Scripps Pier",1.882,18.7625,4.147,33.1513
2012,11,1,"01:07:02",32.867,-117.257,-3,"Scripps Pier",1.853,18.7663,4.17,33.1512
2012,11,1,"01:11:02",32.867,-117.257,-3,"Scripps Pier",1.841,18.744,4.18,33.1508
2012,11,1,"01:15:02",32.867,-117.257,-3,"Scripps Pier",1.898,18.7574,4.2,33.1509
2012,11,1,"01:19:02",32.867,-117.257,-3,"Scripps Pier",1.879,18.7391,4.26,33.1507
2012,11,1,"01:23:02",32.867,-117.257,-3,"Scripps Pier",1.916,18.7343,4.247,33.1509
2012,11,1,"01:27:02",32.867,-117.257,-3,"Scripps Pier",1.874,18.7645,4.238,33.1513
2012,11,1,"01:31:02",32.867,-117.257,-3,"Scripps Pier",1.918,18.7172,4.245,33.1506
2012,11,1,"01:35:02",32.867,-117.257,-3,"Scripps Pier",1.909,18.718,4.284,33.1505
2012,11,1,"01:39:02",32.867,-117.257,-3,"Scripps Pier",1.901,18.7094,4.301,33.1505
2012,11,1,"01:43:02",32.867,-117.257,-3,"Scripps Pier",1.974,18.7011,4.272,33.15
2012,11,1,"01:47:02",32.867,-117.257,-3,"Scripps Pier",1.996,18.6942,4.315,33.1501
2012,11,1,"01:51:02",32.867,-117.257,-3,"Scripps Pier",1.961,18.6938,4.319,33.1502
2012,11,1,"01:55:02",32.867,-117.257,-3,"Scripps Pier",1.916,18.7024,4.358,33.1505
2012,11,1,"01:59:02",32.867,-117.257,-3,"Scripps Pier",1.888,18.7145,4.388,33.1509
2012,11,1,"02:03:02",32.867,-117.257,-3,"Scripps Pier",1.905,18.7136,4.385,33.151
2012,11,1,"02:07:02",32.867,-117.257,-3,"Scripps Pier",1.858,18.7112,4.401,33.1509
2012,11,1,"02:11:02",32.867,-117.257,-3,"Scripps Pier",1.882,18.6986,4.418,33.1506
2012,11,1,"02:15:02",32.867,-117.257,-3,"Scripps Pier",2.046,18.6737,4.416,33.1497
2012,11,1,"02:19:02",32.867,-117.257,-3,"Scripps Pier",1.94,18.669,4.429,33.1496
2012,11,1,"02:23:02",32.867,-117.257,-3,"Scripps Pier",1.905,18.6595,4.461,33.1494
2012,11,1,"02:27:02",32.867,-117.257,-3,"Scripps Pier",2.004,18.6572,4.459,33.149
2012,11,1,"02:31:02",32.867,-117.257,-3,"Scripps Pier",1.91,18.6418,4.502,33.1489
2012,11,1,"02:35:02",32.867,-117.257,-3,"Scripps Pier",1.905,18.6452,4.512,33.1488
2012,11,1,"02:39:02",32.867,-117.257,-3,"Scripps Pier",1.953,18.6488,4.568,33.1488
2012,11,1,"02:43:02",32.867,-117.257,-3,"Scripps Pier",1.942,18.6491,4.566,33.1491
2012,11,1,"02:47:02",32.867,-117.257,-3,"Scripps Pier",1.914,18.6551,4.531,33.1491
2012,11,1,"02:51:02",32.867,-117.257,-3,"Scripps Pier",1.887,18.6617,4.591,33.1492
2012,11,1,"02:55:02",32.867,-117.257,-3,"Scripps Pier",1.849,18.6631,4.619,33.1497
2012,11,1,"02:59:02",32.867,-117.257,-3,"Scripps Pier",1.895,18.6656,4.643,33.1497
2012,11,1,"03:03:02",32.867,-117.257,-3,"Scripps Pier",2.02,18.6609,4.603,33.149
2012,11,1,"03:07:02",32.867,-117.257,-3,"Scripps Pier",1.86,18.6589,4.645,33.1497
2012,11,1,"03:11:02",32.867,-117.257,-3,"Scripps Pier",1.975,18.6371,4.669,33.1489
2012,11,1,"03:15:02",32.867,-117.257,-3,"Scripps Pier",1.921,18.6611,4.707,33.1495
2012,11,1,"03:19:02",32.867,-117.257,-3,"Scripps Pier",1.936,18.6891,4.696,33.1506
2012,11,1,"03:23:02",32.867,-117.257,-3,"Scripps Pier",1.882,18.6897,4.736,33.1508
2012,11,1,"03:27:02",32.867,-117.257,-3,"Scripps Pier",1.904,18.6911,4.705,33.1507
2012,11,1,"03:31:02",32.867,-117.257,-3,"Scripps Pier",1.797,18.7041,4.78,33.1513
2012,11,1,"03:35:02",32.867,-117.257,-3,"Scripps Pier",1.894,18.7147,4.809,33.1515
2012,11,1,"03:39:02",32.867,-117.257,-3,"Scripps Pier",1.92,18.7338,4.826,33.1517
2012,11,1,"03:43:02",32.867,-117.257,-3,"Scripps Pier",1.882,18.7281,4.817,33.1517
2012,11,1,"03:47:02",32.867,-117.257,-3,"Scripps Pier",1.86,18.7197,4.88,33.1512
2012,11,1,"03:51:02",32.867,-117.257,-3,"Scripps Pier",1.867,18.7581,4.877,33.1523
2012,11,1,"03:55:02",32.867,-117.257,-3,"Scripps Pier",1.91,18.7921,4.875,33.1523
2012,11,1,"03:59:02",32.867,-117.257,-3,"Scripps Pier",1.959,18.7252,4.9,33.1517
2012,11,1,"04:03:02",32.867,-117.257,-3,"Scripps Pier",1.925,18.7043,4.929,33.1505
2012,11,1,"04:07:02",32.867,-117.257,-3,"Scripps Pier",1.936,18.6909,4.949,33.15
2012,11,1,"04:11:02",32.867,-117.257,-3,"Scripps Pier",1.906,18.692,4.968,33.1504
2012,11,1,"04:15:02",32.867,-117.257,-3,"Scripps Pier",1.897,18.6991,4.956,33.1506
2012,11,1,"04:19:02",32.867,-117.257,-3,"Scripps Pier",1.883,18.7058,5.007,33.151
2012,11,1,"04:23:02",32.867,-117.257,-3,"Scripps Pier",1.941,18.7263,4.988,33.1514
2012,11,1,"04:27:02",32.867,-117.257,-3,"Scripps Pier",1.869,18.744,5.033,33.1521
2012,11,1,"04:31:02",32.867,-117.257,-3,"Scripps Pier",1.948,18.744,4.999,33.152
2012,11,1,"04:35:02",32.867,-117.257,-3,"Scripps Pier",1.923,18.7513,5.042,33.1521
2012,11,1,"04:39:02",32.867,-117.257,-3,"Scripps Pier",1.932,18.7364,5.071,33.152
2012,11,1,"04:43:02",32.867,-117.257,-3,"Scripps Pier",1.896,18.7236,5.093,33.1514
2012,11,1,"04:47:02",32.867,-117.257,-3,"Scripps Pier",1.842,18.7222,5.107,33.1513
2012,11,1,"04:51:02",32.867,-117.257,-3,"Scripps Pier",1.908,18.7232,5.083,33.151
2012,11,1,"04:55:02",32.867,-117.257,-3,"Scripps Pier",1.93,18.7043,5.09,33.1502
2012,11,1,"04:59:02",32.867,-117.257,-3,"Scripps Pier",2.023,18.6572,5.063,33.1486
2012,11,1,"05:03:02",32.867,-117.257,-3,"Scripps Pier",1.963,18.6451,5.12,33.1475
2012,11,1,"05:07:02",32.867,-117.257,-3,"Scripps Pier",1.896,18.6408,5.116,33.1479
2012,11,1,"05:11:02",32.867,-117.257,-3,"Scripps Pier",2.011,18.6443,5.125,33.1487
2012,11,1,"05:15:02",32.867,-117.257,-3,"Scripps Pier",1.872,18.6448,5.184,33.1488
2012,11,1,"05:19:02",32.867,-117.257,-3,"Scripps Pier",1.883,18.6503,5.184,33.1495
2012,11,1,"05:23:02",32.867,-117.257,-3,"Scripps Pier",2.06,18.6447,5.213,33.1485
2012,11,1,"05:27:02",32.867,-117.257,-3,"Scripps Pier",1.953,18.6439,5.206,33.149
2012,11,1,"05:31:02",32.867,-117.257,-3,"Scripps Pier",1.958,18.6587,5.21,33.151
2012,11,1,"05:35:02",32.867,-117.257,-3,"Scripps Pier",1.942,18.689,5.148,33.1517
2012,11,1,"05:39:02",32.867,-117.257,-3,"Scripps Pier",1.952,18.6944,5.182,33.1519
2012,11,1,"05:43:02",32.867,-117.257,-3,"Scripps Pier",1.93,18.7048,5.236,33.1525
2012,11,1,"05:47:02",32.867,-117.257,-3,"Scripps Pier",1.887,18.6978,5.206,33.1533
2012,11,1,"05:51:02",32.867,-117.257,-3,"Scripps Pier",1.914,18.6961,5.185,33.1534
2012,11,1,"05:55:02",32.867,-117.257,-3,"Scripps Pier",1.896,18.6956,5.245,33.1536
2012,11,1,"05:59:02",32.867,-117.257,-3,"Scripps Pier",2.046,18.669,5.227,33.1536
2012,11,1,"06:03:02",32.867,-117.257,-3,"Scripps Pier",1.913,18.6557,5.218,33.1539
2012,11,1,"06:07:02",32.867,-117.257,-3,"Scripps Pier",1.848,18.6735,5.208,33.1538
2012,11,1,"06:11:02",32.867,-117.257,-3,"Scripps Pier",1.955,18.7004,5.179,33.1536
2012,11,1,"06:15:02",32.867,-117.257,-3,"Scripps Pier",1.977,18.7128,5.222,33.1531
2012,11,1,"06:19:02",32.867,-117.257,-3,"Scripps Pier",1.914,18.7265,5.2,33.153
2012,11,1,"06:23:02",32.867,-117.257,-3,"Scripps Pier",1.922,18.7302,5.196,33.1525
2012,11,1,"06:27:02",32.867,-117.257,-3,"Scripps Pier",1.99,18.7297,5.207,33.1525
2012,11,1,"06:31:02",32.867,-117.257,-3,"Scripps Pier",1.867,18.7314,5.255,33.1524
2012,11,1,"06:35:02",32.867,-117.257,-3,"Scripps Pier",1.875,18.7304,5.298,33.1524
2012,11,1,"06:39:02",32.867,-117.257,-3,"Scripps Pier",1.827,18.7308,5.24,33.1523
2012,11,1,"06:43:02",32.867,-117.257,-3,"Scripps Pier",1.829,18.7315,5.265,33.1523
