year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,10,1,0:01:02,32.867,-117.257,-3,Scripps Pier,9.548,18.5907,4.268,32.9311
2012,10,1,0:05:02,32.867,-117.257,-3,Scripps Pier,9.559,18.5557,4.273,32.9223
2012,10,1,0:09:02,32.867,-117.257,-3,Scripps Pier,9.592,18.5097,4.314,32.9211
2012,10,1,0:13:02,32.867,-117.257,-3,Scripps Pier,9.603,18.4997,4.32,32.9258
2012,10,1,0:17:02,32.867,-117.257,-3,Scripps Pier,9.511,18.4467,4.322,32.9248
2012,10,1,0:21:02,32.867,-117.257,-3,Scripps Pier,9.457,18.4628,4.297,32.9308
2012,10,1,0:25:02,32.867,-117.257,-3,Scripps Pier,9.466,18.3531,4.346,32.915
2012,10,1,0:29:02,32.867,-117.257,-3,Scripps Pier,9.496,18.1741,4.397,32.9057
2012,10,1,0:33:02,32.867,-117.257,-3,Scripps Pier,9.583,18.1573,4.41,32.9296
2012,10,1,0:37:02,32.867,-117.257,-3,Scripps Pier,9.579,18.1498,4.415,32.9238
2012,10,1,0:41:02,32.867,-117.257,-3,Scripps Pier,9.592,18.1786,4.439,32.928
2012,10,1,0:45:02,32.867,-117.257,-3,Scripps Pier,9.628,18.2635,4.454,32.9352
2012,10,1,0:49:02,32.867,-117.257,-3,Scripps Pier,9.618,18.2716,4.483,32.9305
2012,10,1,0:53:02,32.867,-117.257,-3,Scripps Pier,9.619,18.2281,4.502,32.917
2012,10,1,0:57:02,32.867,-117.257,-3,Scripps Pier,9.614,18.0445,4.483,32.9175
2012,10,1,1:01:02,32.867,-117.257,-3,Scripps Pier,9.624,18.0745,4.549,32.9351
2012,10,1,1:05:02,32.867,-117.257,-3,Scripps Pier,9.612,18.1268,4.528,32.9252
2012,10,1,1:09:02,32.867,-117.257,-3,Scripps Pier,9.573,18.1487,4.543,32.9268
2012,10,1,1:13:02,32.867,-117.257,-3,Scripps Pier,9.592,18.2072,4.547,32.9256
2012,10,1,1:17:02,32.867,-117.257,-3,Scripps Pier,9.607,18.2218,4.604,32.9267
2012,10,1,1:21:02,32.867,-117.257,-3,Scripps Pier,9.581,18.2922,4.592,32.9307
2012,10,1,1:25:02,32.867,-117.257,-3,Scripps Pier,9.558,18.2988,4.606,32.9232
