year,month,day,time,latitude,longitude,depth..m.,location,Chlorophyll..ug.L.,Water.Temperature..C.,Pressure..dbar.,Salinity..PSU.
2012,9,1,0:00:19,32.867,-117.257,-3,Scripps Pier,2.045,23.9471,4.493,33.4198
2012,9,1,0:04:19,32.867,-117.257,-3,Scripps Pier,2.255,23.6526,4.531,33.4138
2012,9,1,0:08:19,32.867,-117.257,-3,Scripps Pier,2.206,23.6956,4.538,33.4139
2012,9,1,0:12:19,32.867,-117.257,-3,Scripps Pier,2.223,23.6928,4.572,33.4141
2012,9,1,0:16:19,32.867,-117.257,-3,Scripps Pier,2.481,23.1011,4.615,33.4014
2012,9,1,0:20:19,32.867,-117.257,-3,Scripps Pier,2.685,22.914,4.601,33.3997
2012,9,1,0:24:19,32.867,-117.257,-3,Scripps Pier,2.591,22.8942,4.605,33.4048
2012,9,1,0:28:19,32.867,-117.257,-3,Scripps Pier,2.678,22.6732,4.645,33.3986
2012,9,1,0:32:19,32.867,-117.257,-3,Scripps Pier,2.806,22.7115,4.664,33.3992
2012,9,1,0:36:19,32.867,-117.257,-3,Scripps Pier,3.073,22.6029,4.668,33.3957
2012,9,1,0:40:19,32.867,-117.257,-3,Scripps Pier,3.386,22.4568,4.706,33.394
2012,9,1,0:44:19,32.867,-117.257,-3,Scripps Pier,3.732,22.4367,4.715,33.3895
2012,9,1,0:48:19,32.867,-117.257,-3,Scripps Pier,4.695,22.1916,4.75,33.3851
2012,9,1,0:52:19,32.867,-117.257,-3,Scripps Pier,5.175,22.0069,4.775,33.3769
2012,9,1,0:56:19,32.867,-117.257,-3,Scripps Pier,5.334,21.9656,4.781,33.3739
2012,9,1,1:00:19,32.867,-117.257,-3,Scripps Pier,5.41,21.8549,4.818,33.3686
2012,9,1,1:04:19,32.867,-117.257,-3,Scripps Pier,5.927,21.7467,4.849,33.3671
2012,9,1,1:08:19,32.867,-117.257,-3,Scripps Pier,5.292,21.8244,4.87,33.3715
2012,9,1,1:12:19,32.867,-117.257,-3,Scripps Pier,5.371,21.8131,4.921,33.367
2012,9,1,1:16:19,32.867,-117.257,-3,Scripps Pier,5.302,21.8155,4.936,33.369
2012,9,1,1:20:19,32.867,-117.257,-3,Scripps Pier,5.843,21.746,4.939,33.3677
2012,9,1,1:24:19,32.867,-117.257,-3,Scripps Pier,5.353,21.3899,4.93,33.3629
2012,9,1,1:28:19,32.867,-117.257,-3,Scripps Pier,5.727,21.0213,4.949,33.3529
2012,9,1,1:32:19,32.867,-117.257,-3,Scripps Pier,5.819,20.3505,5.019,33.3319
2012,9,1,1:36:19,32.867,-117.257,-3,Scripps Pier,6.042,20.0365,5.018,33.3286
2012,9,1,1:40:19,32.867,-117.257,-3,Scripps Pier,6.087,19.7599,5.047,33.3226
2012,9,1,1:44:19,32.867,-117.257,-3,Scripps Pier,6.035,19.8761,5.095,33.3248
2012,9,1,1:48:19,32.867,-117.257,-3,Scripps Pier,5.692,20.2144,5.097,33.3291
2012,9,1,1:52:19,32.867,-117.257,-3,Scripps Pier,5.675,20.5812,5.127,33.3393
2012,9,1,1:56:19,32.867,-117.257,-3,Scripps Pier,5.04,21.0429,5.17,33.3499
2012,9,1,2:00:19,32.867,-117.257,-3,Scripps Pier,5.391,21.507,5.168,33.3607
2012,9,1,2:04:19,32.867,-117.257,-3,Scripps Pier,6.296,21.4976,5.17,33.3666
