"Project","Study","Ord_Occ","Event_Num","Cast_ID","Date_Time_UTC","Date_Time_PST","Lat_Dec","Lon_Dec","Sta_ID","Line","Sta","Depth","Pressure","Temp1","Temp2","TempAve","Salt1","Salt1_Corr","Salt2","Salt2_Corr","SaltAve_Corr","Ox1","Ox1_CruiseCorr","Ox1_StaCorr","Ox2","Ox2_CruiseCorr","Ox2_StaCorr","OxAve_StaCorr","FluorV","EstChl_CruiseCorr","EstChl_StaCorr","ISUSV","EstNO3_CruiseCorr","EstNO3_StaCorr","SigThetaTS1","SigThetaTS2","BAT","XMiss","SPAR","PAR","PoT1","PoT2","DynHt","SVA","OxSat1","OxSat2","BTL_Depth","BTL_Temp","SaltB","OxB","Chl.a","Phaeo","NO3","NO2","NH4","PO4","SIL"
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:47:30","28-Jan-2012 08:47:30",32.68423,-117.86989,"093.3 035.0",93.3,35,2,2.014,14.8226,14.8229,14.8228,33.408,33.4075,33.4067,33.4072,33.4074,5.74253,5.9222,5.9264,5.77058,5.9784,5.9426,5.9345,0.0624,0.2483,0.2696,0.364,2.6741,0.847,24.7832,24.7821,0.7235,83.4527,1859.3,69.862,14.8223,14.8227,-0.0048,315.473,99.54969,100.03586,2,14.83,33.409,6.06,0.39,".11",0,0,0,0.34,2.6
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:55","28-Jan-2012 08:48:55",32.68456,-117.86977,"093.3 035.0",93.3,35,3,3.021,14.8228,14.8229,14.8229,33.408,33.4075,33.4069,33.4074,33.4075,5.73592,5.9154,5.9196,5.7309,5.9371,5.9014,5.9105,0.0555,0.2174,0.2379,0.3544,2.3922,0.565,24.7831,24.7823,0.7251,83.4213,1850,37.153,14.8223,14.8224,0.0142,315.507,99.4355,99.34853,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:40","28-Jan-2012 08:48:40",32.6845,-117.8698,"093.3 035.0",93.3,35,4,4.028,14.8214,14.8218,14.8216,33.408,33.4075,33.4068,33.4073,33.4074,5.73445,5.9139,5.918,5.72859,5.9347,5.899,5.9085,0.0586,0.2312,0.2524,0.3565,2.4539,0.627,24.7835,24.7825,0.7265,83.3919,1856.5,35.037,14.8208,14.8212,0.0149,315.504,99.40723,99.3057,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:42","28-Jan-2012 08:48:42",32.6845,-117.8698,"093.3 035.0",93.3,35,5,5.035,14.8236,14.8241,14.8239,33.4085,33.408,33.4072,33.4077,33.4079,5.74227,5.922,5.9261,5.738,5.9445,5.9088,5.9175,0.0583,0.2299,0.251,0.3582,2.5038,0.677,24.7834,24.7823,0.7245,83.4334,1852.9,32.247,14.8229,14.8233,0.0181,315.543,99.54749,99.47349,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:44","28-Jan-2012 08:48:44",32.68451,-117.8698,"093.3 035.0",93.3,35,6,6.043,14.8238,14.8244,14.8241,33.4085,33.408,33.4072,33.4077,33.4079,5.7365,5.916,5.9202,5.74212,5.9488,5.9131,5.9167,0.0658,0.2636,0.2845,0.362,2.6153,0.789,24.7834,24.7823,0.7251,83.4202,1855.7,25.936,14.823,14.8235,0.0213,315.571,99.4479,99.5454,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:46","28-Jan-2012 08:48:46",32.68452,-117.8698,"093.3 035.0",93.3,35,7,7.05,14.8207,14.8209,14.8208,33.408,33.4075,33.4066,33.4071,33.4073,5.72938,5.9086,5.9128,5.75427,5.9614,5.9257,5.9193,0.0732,0.2975,0.3155,0.3666,2.7504,0.924,24.7837,24.7826,0.7249,83.4239,1856.9,23.803,14.8197,14.8199,0.0245,315.573,99.31792,99.74933,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:48","28-Jan-2012 08:48:48",32.68453,-117.8698,"093.3 035.0",93.3,35,8,8.057,14.8202,14.8201,14.8202,33.408,33.4075,33.4066,33.4071,33.4073,5.71539,5.8941,5.8983,5.75302,5.9601,5.9244,5.9114,0.0754,0.3077,0.3243,0.3663,2.7416,0.915,24.7839,24.7828,0.7256,83.41,1856.8,20.818,14.819,14.819,0.0276,315.588,99.07447,99.72682,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:49","28-Jan-2012 08:48:49",32.68454,-117.8698,"093.3 035.0",93.3,35,9,9.064,14.8181,14.8179,14.818,33.4077,33.4072,33.4063,33.4068,33.407,5.72128,5.9002,5.9044,5.76306,5.9706,5.9348,5.9196,0.0809,0.3333,0.3455,0.3664,2.7445,0.918,24.7841,24.7831,0.7244,83.4358,1853.8,17.939,14.8168,14.8165,0.0308,315.592,99.1722,99.89646,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:52","28-Jan-2012 08:48:52",32.68454,-117.86978,"093.3 035.0",93.3,35,10,10.071,14.8149,14.8143,14.8146,33.4073,33.4068,33.4061,33.4066,33.4067,5.72917,5.9084,5.9126,5.7672,5.9749,5.9391,5.9259,0.0866,0.3602,0.3662,0.3695,2.8356,1.009,24.7846,24.7838,0.7251,83.4203,1853.5,15.578,14.8135,14.8128,0.034,315.583,99.30242,99.96166,10,14.82,33.411,5.98,0.4,".10",0,0,0.4,0.35,2.7
"CalCOFI","1202NH",6,56,"1202_006d","28-Jan-2012 16:48:54","28-Jan-2012 08:48:54",32.68454,-117.86978,"093.3 035.0",93.3,35,11,11.078,14.8159,14.8165,14.8162,33.4074,33.4069,33.406,33.4065,33.4067,5.73464,5.9141,5.9182,5.75962,5.967,5.9312,5.9247,0.0917,0.3845,0.3837,0.37,2.8502,1.023,24.7844,24.7832,0.7251,83.4199,1856.9,13.529,14.8142,14.8149,0.0371,315.625,99.39925,99.8322,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
