year,project,location,cpod,lat,lon,depth,GMTDeploy,GMTRetrieve,OK
2013,CIEE,CIEE1,2090,36.937322,-122.077221,93,08/27/2013 17:16 GMT,01/07/2014 17:26 GMT,Y
2013,CIEE,CIEE2,2091,36.937322,-122.007221,63,08/27/2013 18:40 GMT,01/07/2014 19:10 GMT,Y
2013,CIEE,CIEE3,2092,36.937322,-121.937221,68,08/28/2013 17:35 GMT,01/08/2014 19:03 GMT,Y
2013,CIEE,CIEE4,2093,36.902322,-122.042221,155,08/27/2013 18:12 GMT,01/07/2014 18:36 GMT,Y
2013,CIEE,CIEE5,2095,36.902322,-121.972221,105,08/27/2013 20:00 GMT,01/07/2014 20:18 GMT,N
2013,CIEE,CIEE6,2096,36.902322,-121.902221,80,08/28/2013 18:45 GMT,01/08/2014 18:14 GMT,Y
2013,CIEE,CIEE7,2097,36.867322,-122.007221,223,08/28/2013 17:00 GMT,12/18/2013 00:00 GMT,Y
2013,CIEE,CIEE8,2098,36.867322,-121.937221,200,08/28/2013 16:35 GMT,01/08/2014 20:44 GMT,Y
2013,CIEE,CIEE9,2099,36.867322,-121.867221,95,08/28/2013 16:00 GMT,01/07/2014 21:10 GMT,Y
2013,CIEE,CIEE10,1643,36.832322,-121.902221,247,08/29/2013 16:15 GMT,01/08/2014 17:48 GMT,Y
2013,CIEE,CIEE11,1727,36.832322,-121.832221,98,08/29/2013 17:04 GMT,01/08/2014 16:32 GMT,N
