lon,lat
-122.187384,36.999909
-122.186798,36.999323
-122.185624,36.999029
-122.185331,36.998443
-122.184157,36.998149
-122.183277,36.997562
-122.182691,36.997562
-122.181811,36.996682
-122.18005,36.996682
-122.17917,36.995802
-122.178584,36.995802
-122.177704,36.995216
-122.176824,36.994922
-122.175063,36.993455
-122.174183,36.993162
-122.173303,36.992575
-122.17213,36.992575
-122.171543,36.992282
-122.170663,36.991695
-122.170663,36.989642
-122.168316,36.987295
-122.163623,36.987295
-122.161569,36.985828
-122.160102,36.984068
-122.159516,36.984068
-122.156582,36.981721
-122.155995,36.980548
-122.155995,36.978494
-122.155409,36.977614
-122.153649,36.975854
-122.148955,36.975854
-122.148368,36.976734
-122.146315,36.976734
-122.145141,36.976148
-122.143674,36.975854
-122.142501,36.974974
-122.141328,36.974681
-122.141034,36.974387
-122.141328,36.974094
-122.140741,36.973801
-122.139274,36.972921
-122.137807,36.971747
-122.137514,36.970574
-122.136927,36.969987
-122.136634,36.969107
-122.136634,36.967054
-122.136341,36.96676
-122.136047,36.966467
-122.13458,36.966467
-122.1337,36.967054
-122.133114,36.967054
-122.13282,36.966467
-122.13194,36.966467
-122.13106,36.96588
-122.129887,36.965587
-122.128713,36.964413
-122.12754,36.96412
-122.126073,36.96412
-122.125193,36.964707
-122.124606,36.965
-122.123726,36.965
-122.12314,36.965
-122.122553,36.96412
-122.121673,36.963827
-122.121673,36.963533
-122.121086,36.962653
-122.119033,36.96148
-122.115219,36.961773
-122.112872,36.959133
-122.111405,36.95884
-122.110525,36.958253
-122.110232,36.957373
-122.109352,36.956786
-122.109059,36.956493
-122.107885,36.956493
-122.106712,36.955906
-122.106125,36.955613
-122.105245,36.955613
-122.104365,36.955026
-122.103485,36.954733
-122.099965,36.954733
-122.099671,36.954439
-122.099085,36.954439
-122.098498,36.954733
-122.097031,36.955026
-122.095858,36.954733
-122.095271,36.954146
-122.093804,36.953853
-122.092924,36.953266
-122.088524,36.953266
-122.086764,36.951506
-122.08119,36.951506
-122.080017,36.952386
-122.077963,36.952386
-122.07767,36.952386
-122.07767,36.950919
-122.07767,36.950626
-122.07591,36.949159
-122.073269,36.949159
-122.073269,36.949159
-122.071803,36.948279
-122.069749,36.948279
-122.068282,36.947399
-122.065936,36.947399
-122.065055,36.947399
-122.064469,36.948279
-122.063002,36.948279
-122.062122,36.948866
-122.058895,36.949452
-122.057722,36.948572
-122.055668,36.948279
-122.054495,36.947692
-122.052441,36.947399
-122.051268,36.947399
-122.050681,36.948279
-122.050094,36.948279
-122.047748,36.948279
-122.047454,36.948572
-122.046868,36.949159
-122.045401,36.949159
-122.043934,36.950332
-122.042761,36.950919
-122.04188,36.951506
-122.040707,36.951506
-122.036893,36.951799
-122.036013,36.950919
-122.02956,36.950626
-122.02868,36.950039
-122.027213,36.950039
-122.026919,36.950039
-122.025453,36.951212
-122.025159,36.952386
-122.024279,36.952973
-122.024279,36.956199
-122.025159,36.957373
-122.025453,36.958253
-122.025159,36.960306
-122.023986,36.961187
-122.023399,36.96148
-122.021932,36.96148
-122.021346,36.96236
-122.018412,36.96236
-122.017825,36.96324
-122.015479,36.96324
-122.014599,36.963827
-122.013425,36.96412
-122.011958,36.962653
-122.010198,36.96236
-122.009025,36.96148
-122.006091,36.96148
-122.004918,36.960893
-122.003451,36.9606
-122.003158,36.960893
-122.002864,36.96148
-122.002571,36.96236
-122.001691,36.961773
-121.999931,36.96148
-121.999931,36.96148
-121.999931,36.96148
-121.998464,36.960893
-121.996704,36.9606
-121.995824,36.960013
-121.995237,36.960013
-121.99465,36.959426
-121.99289,36.95884
-121.991717,36.958253
-121.990543,36.958253
-121.989663,36.959133
-121.989077,36.959133
-121.985263,36.959133
-121.983503,36.957666
-121.982623,36.957373
-121.981449,36.956199
-121.980276,36.955613
-121.979396,36.955026
-121.978223,36.954733
-121.977343,36.954146
-121.975876,36.954146
-121.975582,36.954146
-121.972649,36.954146
-121.972062,36.954439
-121.970009,36.956493
-121.969129,36.95708
-121.967662,36.958253
-121.966782,36.958546
-121.966195,36.95884
-121.965022,36.959133
-121.957981,36.966467
-121.957394,36.96764
-121.955634,36.969694
-121.955341,36.969694
-121.954754,36.969987
-121.953874,36.970574
-121.952994,36.970867
-121.950354,36.970867
-121.949474,36.971454
-121.948887,36.971747
-121.948007,36.972334
-121.946834,36.972627
-121.945367,36.973801
-121.944193,36.974387
-121.94302,36.975854
-121.94214,36.975561
-121.94038,36.977321
-121.93862,36.977321
-121.930406,36.977614
-121.929526,36.976734
-121.927766,36.976441
-121.926592,36.975854
-121.924245,36.975561
-121.922779,36.974974
-121.921312,36.974681
-121.921018,36.974094
-121.919552,36.973801
-121.919258,36.973507
-121.917205,36.972334
-121.916031,36.972334
-121.915151,36.971747
-121.913978,36.971454
-121.913098,36.970867
-121.911925,36.970574
